,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Rikitea,PF,73.99,clear sky,-23.1203,-134.9692,People ThankYou
3,Dover,US,58.14,moderate rain,39.1582,-75.5244,Bally's Dover Casino Resort
5,Chitral,PK,64.0,clear sky,35.8462,71.7858,PTDC Motel Chitral
8,Kulmbach,DE,53.83,overcast clouds,50.1,11.45,Taste Hotel Kulmbach
9,Kamariotissa,GR,73.76,clear sky,40.4833,25.4667,Niki Beach
11,Kualakapuas,ID,75.04,light rain,-3.0091,114.3876,Guest House Izonk
12,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
15,East London,ZA,67.86,few clouds,-33.0153,27.9116,Tu Casa
16,Castro,BR,71.51,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
17,Faanui,PF,77.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Vanderhoof,CA,65.89,broken clouds,54.0166,-124.0198,Vanderhoof Inn
22,Fortuna,US,59.67,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
23,Quatre Cocos,MU,71.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
24,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
25,Booue,GA,72.7,light rain,-0.0921,11.9385,Splendeur de l'équateur
30,Aleksandrovskoye,RU,67.05,overcast clouds,44.7142,43.0008,Mini hotel Tranzit
32,Cape Town,ZA,61.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,Katsuura,JP,71.38,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
35,Chuy,UY,66.87,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Lebu,CL,56.82,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
37,Ancud,CL,59.11,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
38,Kodiak,US,53.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
41,Port Alfred,ZA,65.17,clear sky,-33.5906,26.891,The Halyards Hotel
42,Maldonado,UY,63.79,clear sky,-34.6667,-54.9167,La Cimarrona
46,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
47,Jamestown,US,61.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,Hobart,AU,49.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
49,Flinders,AU,48.25,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
53,Atuona,PF,76.59,light rain,-9.8,-139.0333,Villa Enata
54,Margate,GB,56.7,clear sky,51.3813,1.3862,Premier Inn Margate hotel
55,Carnarvon,AU,66.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
57,Fort Oglethorpe,US,74.86,scattered clouds,34.949,-85.2569,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
59,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
61,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Hain
63,Busselton,AU,48.49,clear sky,-33.65,115.3333,Observatory Guest House
64,Kenora,CA,63.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
65,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Torbay,CA,50.58,broken clouds,47.6666,-52.7314,Gallows Cove
67,Vao,NC,70.32,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
70,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
72,Kapaa,US,75.09,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Thompson,CA,68.31,overcast clouds,55.7435,-97.8558,Burntwood Hotel
78,Bredasdorp,ZA,55.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
80,Muroto,JP,76.3,overcast clouds,33.2833,134.15,Oota Ryokan
82,Vila Franca Do Campo,PT,76.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
83,Beyneu,KZ,54.19,clear sky,45.3167,55.2,NUR
88,Umkomaas,ZA,71.67,overcast clouds,-30.2067,30.7978,The Norwegian Lodge
91,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
96,Mingaora,PK,66.45,clear sky,34.7758,72.3625,Burj Al Swat
97,Mahajanga,MG,71.62,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
98,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
99,Leh,IN,48.09,clear sky,34.1667,77.5833,Hotel Ladakh Greens
101,Port Lincoln,AU,60.51,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
106,Lompoc,US,72.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
107,Buzuluk,RU,58.73,overcast clouds,52.7807,52.2635,Sri Lanka Hotel
108,Liku,ID,75.24,overcast clouds,-0.7275,119.8922,Kost annisa
109,Constitucion,CL,61.34,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
111,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
113,Sulina,RO,61.11,clear sky,45.1559,29.6536,Hotel Delta Est
114,Kruisfontein,ZA,62.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
115,Guerrero Negro,MX,73.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
116,Klaksvik,FO,50.92,few clouds,62.2266,-6.589,Airbnb rooms
123,Strai,NO,52.39,light rain,58.2,7.9,Mosterøy
124,Antalaha,MG,65.91,clear sky,-14.9003,50.2788,Hotel Vitasoa
125,Odweyne,SO,76.46,scattered clouds,9.4092,45.064,Eng Hiirey House
126,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
129,Port Elizabeth,ZA,65.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
130,Kalemie,CD,77.41,overcast clouds,-5.9475,29.1947,Mahobilali
131,Thaba Nchu,ZA,63.99,clear sky,-29.2093,26.839,Real Time Guest House
132,Nabire,ID,74.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
135,Bardiyah,LY,75.4,clear sky,31.7561,25.0865,بورتو بردية
138,Lesozavodsk,RU,52.66,clear sky,45.4794,133.4244,Hotel Chelyuskina
140,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
143,Fomboni,KM,75.76,clear sky,-12.28,43.7425,Auberge les abou
144,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
146,Pathein,MM,75.63,overcast clouds,16.7833,94.7333,Pathein Hotel
147,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
149,Vestmannaeyjar,IS,49.03,overcast clouds,63.4427,-20.2734,Glamping & Camping
150,Farmington,US,65.21,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
151,Surt,LY,76.93,clear sky,31.2089,16.5887,فندق المدينة
153,Abonnema,NG,77.29,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
154,New Norfolk,AU,48.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
158,Hamilton,US,71.6,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
160,Noumea,NC,73.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
161,Grand Forks,US,60.73,haze,47.9417,-97.4337,Warrior Inn
163,Byron Bay,AU,51.94,broken clouds,-28.65,153.6167,Backpackers Inn
169,Montepuez,MZ,71.94,clear sky,-13.1256,38.9997,PembaAparthotel
171,Vestmanna,FO,49.12,broken clouds,62.1564,-7.1664,Vestmanna Camping
172,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
178,Bandarbeyla,SO,77.02,overcast clouds,9.4942,50.8122,JABIR HOTEL
183,Necochea,AR,53.46,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
184,Sitka,US,49.89,clear sky,57.0531,-135.33,Westmark Sitka
185,Hualmay,PE,67.3,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
186,Hachinohe,JP,60.71,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
188,Waipawa,NZ,48.61,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
190,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
191,Maneadero,MX,74.1,clear sky,31.7167,-116.5667,Casa De Thompson
193,Yamethin,MM,73.96,light rain,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
194,Imeni Babushkina,RU,50.56,overcast clouds,59.7573,43.1285,"Gostevoy Dom ""Usol'ye"""
197,Cambrils,ES,74.71,few clouds,41.0748,1.0524,Sol Port Cambrils
198,Stromness,GB,55.87,overcast clouds,58.965,-3.296,The Old Smokery
199,Flin Flon,CA,64.24,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
200,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
202,Ardalstangen,NO,52.29,overcast clouds,61.2371,7.6983,Klingenberg Hotel AS
208,Fort Morgan,US,59.65,mist,40.2503,-103.8,Hampton Inn Fort Morgan
209,Valparaiso,CL,59.0,fog,-33.0393,-71.6273,Hotel Ultramar
210,Nedjo,ET,57.13,overcast clouds,9.5046,35.5019,Yerosan Hotel
211,Pacific Grove,US,69.48,scattered clouds,36.6177,-121.9166,Lovers Point Inn
212,Rocha,UY,67.21,clear sky,-34.4833,-54.3333,Hotel Arrarte
213,Ponta Do Sol,PT,72.72,broken clouds,32.6667,-17.1,Hotel do Campo
218,Dingle,PH,76.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Cidreira,BR,64.71,broken clouds,-30.1811,-50.2056,Hotel Castelo
220,Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Hotel San Juan
221,Blairmore,CA,62.47,clear sky,49.6,-114.4353,Highwood Motel
224,Haines Junction,CA,51.75,broken clouds,60.7522,-137.5108,Parkside Inn
227,Calama,CL,75.69,few clouds,-22.4667,-68.9333,Park Hotel Calama
