,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,47.86,46,0,3.44,clear sky
1,Hermanus,ZA,-34.4187,19.2345,60.8,85,0,13.96,clear sky
2,Rikitea,PF,-23.1203,-134.9692,73.99,69,0,5.68,clear sky
3,Dover,US,39.1582,-75.5244,58.14,84,100,20.71,moderate rain
4,Touros,BR,-5.1989,-35.4608,80.83,63,5,16.31,clear sky
5,Chitral,PK,35.8462,71.7858,64.0,63,3,3.44,clear sky
6,Kurumkan,RU,54.3,110.3,23.02,74,75,3.4,broken clouds
7,Barra Do Garcas,BR,-15.89,-52.2567,84.78,48,75,11.5,thunderstorm
8,Kulmbach,DE,50.1,11.45,53.83,93,100,6.4,overcast clouds
9,Kamariotissa,GR,40.4833,25.4667,73.76,54,0,18.54,clear sky
10,Tiksi,RU,71.6872,128.8694,24.87,88,100,12.28,overcast clouds
11,Kualakapuas,ID,-3.0091,114.3876,75.04,96,100,1.95,light rain
12,Avarua,CK,-21.2078,-159.775,73.45,68,40,11.5,scattered clouds
13,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,4.61,broken clouds
14,Victoria,HK,22.2855,114.1577,83.32,84,10,4.0,clear sky
15,East London,ZA,-33.0153,27.9116,67.86,88,11,15.77,few clouds
16,Castro,BR,-24.7911,-50.0119,71.51,61,75,4.43,broken clouds
17,Faanui,PF,-16.4833,-151.75,77.94,74,7,15.14,light rain
18,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
19,Vanderhoof,CA,54.0166,-124.0198,65.89,54,69,3.24,broken clouds
20,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,47.93,34,0,8.01,clear sky
21,Vardo,NO,70.3705,31.1107,40.98,93,100,4.61,overcast clouds
22,Fortuna,US,40.5982,-124.1573,59.67,73,17,5.61,few clouds
23,Quatre Cocos,MU,-20.2078,57.7625,71.71,71,95,14.45,overcast clouds
24,Hasaki,JP,35.7333,140.8333,66.6,65,100,5.77,overcast clouds
25,Booue,GA,-0.0921,11.9385,72.7,96,81,2.35,light rain
26,Saskylakh,RU,71.9167,114.0833,25.16,95,100,14.81,light snow
27,Yellowknife,CA,62.456,-114.3525,43.32,70,75,32.99,light rain
28,Dikson,RU,73.5069,80.5464,29.28,90,100,20.07,overcast clouds
29,Kuytun,RU,54.3419,101.5036,28.8,84,100,9.66,overcast clouds
30,Aleksandrovskoye,RU,44.7142,43.0008,67.05,56,100,11.07,overcast clouds
31,Albany,US,42.6001,-73.9662,58.33,68,100,1.01,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,61.12,76,0,3.0,clear sky
33,Katsuura,JP,35.1333,140.3,71.38,72,100,6.42,overcast clouds
34,Hithadhoo,MV,-0.6,73.0833,81.82,68,100,12.57,overcast clouds
35,Chuy,UY,-33.6971,-53.4616,66.87,50,0,7.14,clear sky
36,Lebu,CL,-37.6167,-73.65,56.82,72,100,6.35,overcast clouds
37,Ancud,CL,-41.8697,-73.8203,59.11,57,100,3.91,overcast clouds
38,Kodiak,US,57.79,-152.4072,53.11,71,75,3.44,broken clouds
39,Narsaq,GL,60.9167,-46.05,37.62,61,55,2.62,broken clouds
40,Clyde River,CA,70.4692,-68.5914,30.43,74,100,5.75,overcast clouds
41,Port Alfred,ZA,-33.5906,26.891,65.17,93,0,1.99,clear sky
42,Maldonado,UY,-34.6667,-54.9167,63.79,60,1,14.27,clear sky
43,Iki-Burul,RU,45.8208,44.6472,66.58,68,100,21.18,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,37.56,96,100,26.96,light rain
45,Taldan,RU,53.6667,124.8,25.93,56,0,9.51,clear sky
46,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,75,9.22,broken clouds
47,Jamestown,US,42.097,-79.2353,61.52,68,40,13.8,scattered clouds
48,Hobart,AU,-42.8794,147.3294,49.05,92,75,6.91,broken clouds
49,Flinders,AU,-34.5833,150.8552,48.25,91,0,3.0,clear sky
50,Jatai,BR,-17.8814,-51.7144,86.36,40,100,5.91,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,10.04,74,17,7.65,few clouds
52,Bluff,NZ,-46.6,168.3333,47.8,81,100,22.44,light rain
53,Atuona,PF,-9.8,-139.0333,76.59,77,41,20.71,light rain
54,Margate,GB,51.3813,1.3862,56.7,64,0,5.77,clear sky
55,Carnarvon,AU,-24.8667,113.6333,66.33,60,0,13.62,clear sky
56,Mount Isa,AU,-20.7333,139.5,74.97,29,100,5.75,overcast clouds
57,Fort Oglethorpe,US,34.949,-85.2569,74.86,59,40,17.27,scattered clouds
58,Port-Gentil,GA,-0.7193,8.7815,78.76,89,75,11.5,broken clouds
59,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,34,11.48,scattered clouds
60,Alta Floresta,BR,-9.8756,-56.0861,100.89,19,100,1.52,overcast clouds
61,Punta Arenas,CL,-53.15,-70.9167,51.91,40,0,10.36,clear sky
62,Labrea,BR,-7.2586,-64.7981,92.52,40,100,1.39,overcast clouds
63,Busselton,AU,-33.65,115.3333,48.49,75,10,12.88,clear sky
64,Kenora,CA,49.8167,-94.4337,63.57,55,20,8.05,few clouds
65,Mahebourg,MU,-20.4081,57.7,71.89,68,75,9.22,broken clouds
66,Torbay,CA,47.6666,-52.7314,50.58,60,75,9.22,broken clouds
67,Vao,NC,-22.6667,167.4833,70.32,70,100,9.31,overcast clouds
68,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,80,20,2.24,few clouds
69,Ciudad Bolivar,VE,8.1222,-63.5497,90.48,50,100,2.53,overcast clouds
70,Ribeira Grande,PT,38.5167,-28.7,73.8,88,40,10.36,scattered clouds
71,Yar-Sale,RU,66.8333,70.8333,36.99,84,100,12.55,overcast clouds
72,Kapaa,US,22.0752,-159.319,75.09,92,100,12.66,moderate rain
73,Palana,RU,59.1167,159.9667,35.85,77,99,7.83,overcast clouds
74,Polyarnyy,RU,69.1989,33.4478,38.75,91,100,9.04,overcast clouds
